SampleID,Site,Time Point,Rep,DOC_mgL,FI,FDOM,HIX,,,,,,
WG0300,Terminus,0.0,3,0.3,1.16,0.54,0.47,,,,,,
WG0301,Terminus,0.5,1,0.23,,,,,,,,,
WG0302,Terminus,0.5,2,0.24,,,,,,,,,
WG0303,Terminus,0.5,3,0.15,,,,,,,,,
WG0304,Terminus,1.0,1,0.21,,,,,,,,,
WG0305,Terminus,1.0,2,0.17,,,,,,,,,
WG0306,Terminus,1.0,3,0.19,,,,,,,,,
WG0307,Terminus,2.0,1,0.26,,,,,,,,,
WG0308,Terminus,2.0,2,0.21,,,,,,,,,
WG0309,Terminus,2.0,3,0.18,,,,,,,,,
WG0310,Terminus,6.0,1,0.15,,,,,,,,,
WG0311,Terminus,6.0,2,0.16,,,,,,,,,
WG0312,Terminus,6.0,3,0.15,,,,,,,,,
WG0313,Terminus,14.0,1,0.17,,,,,,,,,
WG0314,Terminus,14.0,2,0.17,,,,,,,,,
WG0315,Terminus,14.0,3,0.21,,,,,,,,,
WG0316,Terminus,28.0,1,0.32,1.31,3.93,0.88,,,,,,
WG0317,Terminus,28.0,2,0.22,1.60,1.65,0.63,,,,,,
WG0318,Terminus,28.0,3,0.19,1.50,1.20,0.75,,,,,,
WG0319,Tundra,0.0,1,0.52,1.32,2.69,0.88,,,,,,
WG0320,Tundra,0.0,2,0.63,1.27,2.91,0.85,,,,,,
WG0321,Tundra,0.0,3,0.57,1.30,2.88,0.91,,,,,,
WG0322,Tundra,0.5,1,0.56,,,,,,,,,
WG0323,Tundra,0.5,2,0.52,,,,,,,,,
WG0324,Tundra,0.5,3,0.56,,,,,,,,,
WG0325,Tundra,1.0,1,0.59,,,,,,,,,
WG0326,Tundra,1.0,2,0.64,,,,,,,,,
WG0327,Tundra,1.0,3,0.67,,,,,,,,,
WG0328,Tundra,2.0,1,0.54,,,,,,,,,
WG0329,Tundra,2.0,2,0.53,,,,,,,,,
WG0330,Tundra,2.0,3,0.55,,,,,,,,,
WG0331,Tundra,6.0,1,0.54,,,,,,,,,
WG0332,Tundra,6.0,2,0.56,,,,,,,,,
WG0333,Tundra,6.0,3,0.55,,,,,,,,,
WG0334,Tundra,14.0,1,0.48,,,,,,,,,
WG0335,Tundra,14.0,2,0.56,,,,,,,,,
WG0336,Tundra,14.0,3,0.51,,,,,,,,,
WG0337,Tundra,28.0,1,0.57,,,,,,,,,
WG0338,Tundra,28.0,2,0.53,,,,,,,,,
WG0339,Tundra,28.0,3,0.53,,,,,,,,,
WG0340,Glacier,0.0,1,0.27,1.65,0.60,0.51,,,,,,
WG0341,Glacier,0.0,2,0.34,1.40,0.49,0.54,,,,,,
WG0342,Glacier,0.0,3,0.22,1.79,0.64,0.52,,,,,,
WG0343,Glacier,0.5,1,0.09,,,,,,,,,
WG0344,Glacier,0.5,2,0.09,,,,,,,,,
WG0345,Glacier,0.5,3,0.13,,,,,,,,,
WG0346,Glacier,1.0,1,0.09,,,,,,,,,
WG0347,Glacier,1.0,2,0.12,,,,,,,,,
WG0348,Glacier,1.0,3,0.06,,,,,,,,,
WG0349,Glacier,2.0,1,0.1,,,,,,,,,
WG0350,Glacier,2.0,2,0.07,,,,,,,,,
WG0351,Glacier,2.0,3,0.06,,,,,,,,,
WG0352,Glacier,6.0,1,0.1,,,,,,,,,
WG0353,Glacier,6.0,2,0.09,,,,,,,,,
WG0354,Glacier,6.0,3,0.09,,,,,,,,,
WG0355,Glacier,14.0,1,0.1,,,,,,,,,
WG0356,Glacier,14.0,2,0.09,,,,,,,,,
WG0357,Glacier,14.0,3,0.05,,,,,,,,,
WG0358,Glacier,28.0,1,0.38,,,,,,,,,
WG0359,Glacier,28.0,2,0.12,,,,,,,,,
WG0360,Glacier,28.0,3,0.14,,,,,,,,,
